                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.85458,                0.71578,                 1.0466,                0.94592,                0.89337,                0.95308,                 0.8123,                0.55542,                0.37741,                0.87139,               0.009307,               0.009307,               0.009307
                     37,                 0.8507,                0.71053,                 1.0456,                0.94652,                0.89375,                0.95393,                0.81338,                0.55343,                0.37503,                 0.8705,              0.0092872,              0.0092872,              0.0092872
                     38,                 0.8502,                0.71645,                  1.047,                0.94885,                0.89273,                0.95436,                0.81455,                0.55086,                 0.3727,                0.86957,              0.0092674,              0.0092674,              0.0092674
                     39,                0.85461,                0.72172,                 1.0468,                0.94981,                0.89263,                0.95454,                0.81542,                0.54913,                0.37144,                0.86864,              0.0092476,              0.0092476,              0.0092476
                     40,                0.84459,                0.71231,                 1.0423,                0.95064,                0.89249,                0.95489,                0.81658,                0.54744,                0.37039,                0.86746,              0.0092278,              0.0092278,              0.0092278
                     41,                0.85039,                0.72385,                 1.0456,                0.95211,                0.89164,                0.95514,                0.81727,                 0.5456,                 0.3688,                0.86672,               0.009208,               0.009208,               0.009208
                     42,                0.84472,                0.71011,                 1.0456,                0.95112,                0.89203,                 0.9555,                0.81781,                0.54403,                0.36762,                0.86587,              0.0091882,              0.0091882,              0.0091882
                     43,                0.84033,                0.71054,                 1.0426,                0.95187,                0.89258,                0.95592,                0.81837,                0.54275,                0.36631,                0.86532,              0.0091684,              0.0091684,              0.0091684
                     44,                 0.8419,                0.70557,                 1.0393,                0.95034,                0.89361,                0.95602,                0.81867,                0.54152,                0.36554,                0.86468,              0.0091486,              0.0091486,              0.0091486
                     45,                0.83589,                 0.7037,                 1.0391,                0.95032,                 0.8936,                0.95627,                0.81901,                0.54081,                0.36459,                0.86432,              0.0091288,              0.0091288,              0.0091288
                     46,                0.83711,                0.70669,                 1.0367,                0.94901,                0.89494,                0.95617,                0.81914,                0.53976,                0.36355,                0.86373,               0.009109,               0.009109,               0.009109
                     47,                0.83375,                0.70139,                 1.0387,                0.95002,                0.89515,                0.95656,                0.82005,                0.53868,                0.36273,                0.86309,              0.0090892,              0.0090892,              0.0090892
                     48,                0.83893,                0.70632,                 1.0387,                0.94947,                 0.8961,                0.95659,                0.82044,                0.53769,                0.36199,                0.86254,              0.0090694,              0.0090694,              0.0090694
